7 55191820 55191822 egfr_L858R_coverageByCell.csv 
7 55181377 55181379 egfr_T790M_coverageByCell.csv 
7 55191830 55191832 egfr_L861Q_coverageByCell.csv 
7 55174014 55174016 egfr_G719X_coverageByCell.csv 
7 55181311 55181313 egfr_S768I_coverageByCell.csv 
7 140753335 140753337 braf_V600E_coverageByCell.csv
12 25245350 25245352 kras_G12C_coverageByCell.csv
12 25245346 25245348 kras_G13X_coverageByCell.csv
12 25227340 25227342 kras_Q61X_coverageByCell.csv
7 55181330 55181331 egfr_exon20ins_coverageByCell.csv
7 55174768 55174791 egfr_exon19del_coverageByCell.csv
